Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O14649	KCNK3_HUMAN	reviewed	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1)	KCNK3 TASK TASK1	Homo sapiens (Human)	394
Q9NPC2	KCNK9_HUMAN	reviewed	Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2)	KCNK9 TASK3	Homo sapiens (Human)	374
Q9H427	KCNKF_HUMAN	reviewed	Potassium channel subfamily K member 15 (Acid-sensitive potassium channel protein TASK-5) (TWIK-related acid-sensitive K(+) channel 5) (Two pore potassium channel KT3.3) (Two pore K(+) channel KT3.3)	KCNK15 TASK5	Homo sapiens (Human)	330
Q99698	LYST_HUMAN	reviewed	Lysosomal-trafficking regulator (Beige homolog)	LYST CHS CHS1	Homo sapiens (Human)	3801
Q96L34	MARK4_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	Homo sapiens (Human)	752
P30304	MPIP1_HUMAN	reviewed	M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A)	CDC25A	Homo sapiens (Human)	524
P30305	MPIP2_HUMAN	reviewed	M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B)	CDC25B CDC25HU2	Homo sapiens (Human)	580
Q8TEW0	PARD3_HUMAN	reviewed	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)	PARD3 PAR3 PAR3A	Homo sapiens (Human)	1356
Q13370	PDE3B_HUMAN	reviewed	cGMP-inhibited 3',5'-cyclic phosphodiesterase B (EC 3.1.4.17) (CGIPDE1) (CGIP1) (Cyclic GMP-inhibited phosphodiesterase B) (CGI-PDE B)	PDE3B	Homo sapiens (Human)	1112
P26045	PTN3_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase H1) (PTP-H1)	PTPN3 PTPH1	Homo sapiens (Human)	913
Q59FL5	Q59FL5_HUMAN	unreviewed	Ras inhibitor RIN1 variant (Fragment)		Homo sapiens (Human)	651
P04049	RAF1_HUMAN	reviewed	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF	Homo sapiens (Human)	648
P49796	RGS3_HUMAN	reviewed	Regulator of G-protein signaling 3 (RGP3) (RGS3)	RGS3	Homo sapiens (Human)	1198
Q13671	RIN1_HUMAN	reviewed	Ras and Rab interactor 1 (Ras inhibitor JC99) (Ras interaction/interference protein 1)	RIN1	Homo sapiens (Human)	783
Q15287	RNPS1_HUMAN	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	Homo sapiens (Human)	305
Q04912	RON_HUMAN	reviewed	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON	Homo sapiens (Human)	1400
P84103	SRSF3_HUMAN	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
P19634	SL9A1_HUMAN	reviewed	Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)	SLC9A1 APNH1 NHE1	Homo sapiens (Human)	815
Q15569	TESK1_HUMAN	reviewed	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	TESK1	Homo sapiens (Human)	626
P21580	TNAP3_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	Homo sapiens (Human)	790
Q16890	TPD53_HUMAN	reviewed	Tumor protein D53 (hD53) (Tumor protein D52-like 1)	TPD52L1	Homo sapiens (Human)	204
Q92574	TSC1_HUMAN	reviewed	Hamartin (Tuberous sclerosis 1 protein)	TSC1 KIAA0243 TSC	Homo sapiens (Human)	1164
P49815	TSC2_HUMAN	reviewed	Tuberin (Tuberous sclerosis 2 protein)	TSC2 TSC4	Homo sapiens (Human)	1807
P55851	UCP2_HUMAN	reviewed	Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH)	UCP2 SLC25A8	Homo sapiens (Human)	309
P55916	UCP3_HUMAN	reviewed	Mitochondrial uncoupling protein 3 (UCP 3) (Solute carrier family 25 member 9)	UCP3 SLC25A9	Homo sapiens (Human)	312
P30291	WEE1_HUMAN	reviewed	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	WEE1	Homo sapiens (Human)	646
A8MY35	A8MY35_HUMAN		Deleted.			
Q92974	ARHG2_HUMAN	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40)	ARHGEF2 KIAA0651 LFP40	Homo sapiens (Human)	986
P54253	ATX1_HUMAN	reviewed	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	ATXN1 ATX1 SCA1	Homo sapiens (Human)	815
P11274	BCR_HUMAN	reviewed	Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)	BCR BCR1 D22S11	Homo sapiens (Human)	1271
Q00994	BEX3_HUMAN	reviewed	Protein BEX3 (Brain-expressed X-linked protein 3) (Nerve growth factor receptor-associated protein 1) (Ovarian granulosa cell 13.0 kDa protein HGR74) (p75NTR-associated cell death executor)	BEX3 DXS6984E NADE NGFRAP1	Homo sapiens (Human)	111
P0DP30	CALM2_RAT	reviewed	Calmodulin-2	Calm2 Cam2 Camb CaMII	Rattus norvegicus (Rat)	149
P0DP31	CALM3_RAT	reviewed	Calmodulin-3	Calm3 Cam3 Camc CaMIII	Rattus norvegicus (Rat)	149
P0DP33	CALM1_XENLA	reviewed	Calmodulin-1	calm1	Xenopus laevis (African clawed frog)	149
P0DP23	CALM1_HUMAN	reviewed	Calmodulin-1	CALM1 CALM CAM CAM1	Homo sapiens (Human)	149
P0DP34	CAM2A_XENLA	reviewed	Calmodulin-2 A	calm2-a	Xenopus laevis (African clawed frog)	149
P0DP24	CALM2_HUMAN	reviewed	Calmodulin-2	CALM2 CAM2 CAMB	Homo sapiens (Human)	149
P0DP35	CAM2B_XENLA	reviewed	Calmodulin-2 B	calm2-b	Xenopus laevis (African clawed frog)	149
P0DP25	CALM3_HUMAN	reviewed	Calmodulin-3	CALM3 CALML2 CAM3 CAMC CAMIII	Homo sapiens (Human)	149
P62160	CALM_RABIT	reviewed	Calmodulin (CaM)	CALM CAM	Oryctolagus cuniculus (Rabbit)	149
P62144	CALM_ANAPL	reviewed	Calmodulin (CaM)	CALM CAM	Anas platyrhynchos (Mallard) (Anas boschas)	149
P62156	CALM_ONCSP	reviewed	Calmodulin (CaM)	calm	Oncorhynchus sp. (Salmon)	149
P62146	CALMA_ARBPU	reviewed	Calmodulin-alpha (CaM A) (Fragment)		Arbacia punctulata (Punctuate sea urchin)	142
P62157	CALM_BOVIN	reviewed	Calmodulin (CaM)	CALM CAM	Bos taurus (Bovine)	149
P62150	CALM_ORYLA	reviewed	Calmodulin-A (CaM A) (Fragment)	calm1	Oryzias latipes (Japanese rice fish) (Japanese killifish)	136
P62151	CALM_TETCF	reviewed	Calmodulin (CaM)		Tetronarce californica (Pacific electric ray) (Torpedo californica)	149
P0DP26	CALM1_MOUSE	reviewed	Calmodulin-1	Calm1 Calm Cam Cam1	Mus musculus (Mouse)	149
P0DP27	CALM2_MOUSE	reviewed	Calmodulin-2	Calm2 Cam2 CamC	Mus musculus (Mouse)	149
P0DP28	CALM3_MOUSE	reviewed	Calmodulin-3	Calm3 Cam3 Camc	Mus musculus (Mouse)	149
P0DP29	CALM1_RAT	reviewed	Calmodulin-1	Calm1 Calm Cam Cam1 CaMI	Rattus norvegicus (Rat)	149
P62149	CALM_CHICK	reviewed	Calmodulin (CaM)	CALM CAM RCJMB04_24e7	Gallus gallus (Chicken)	149
Q9NRI5	DISC1_HUMAN	reviewed	Disrupted in schizophrenia 1 protein	DISC1 KIAA0457	Homo sapiens (Human)	854
O75791	GRAP2_HUMAN	reviewed	GRB2-related adapter protein 2 (Adapter protein GRID) (GRB-2-like protein) (GRB2L) (GRBLG) (GRBX) (Grf40 adapter protein) (Grf-40) (Growth factor receptor-binding protein) (Hematopoietic cell-associated adapter protein GrpL) (P38) (Protein GADS) (SH3-SH2-SH3 adapter Mona)	GRAP2 GADS GRB2L GRID	Homo sapiens (Human)	330
O60269	GRIN2_HUMAN	reviewed	G protein-regulated inducer of neurite outgrowth 2 (GRIN2)	GPRIN2 KIAA0514	Homo sapiens (Human)	458
Q00613	HSF1_HUMAN	reviewed	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	Homo sapiens (Human)	529
P35568	IRS1_HUMAN	reviewed	Insulin receptor substrate 1 (IRS-1)	IRS1	Homo sapiens (Human)	1242
Q12809	KCNH2_HUMAN	reviewed	Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
P05129	KPCG_HUMAN	reviewed	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	PRKCG PKCG	Homo sapiens (Human)	697
Q02779	M3K10_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST)	MAP3K10 MLK2 MST	Homo sapiens (Human)	954
Q13233	M3K1_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1)	MAP3K1 MAPKKK1 MEKK MEKK1	Homo sapiens (Human)	1512
Q9Y2U5	M3K2_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)	MAP3K2 MAPKKK2 MEKK2	Homo sapiens (Human)	619
P28482	MK01_HUMAN	reviewed	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	360
Q9UPR5	NAC2_HUMAN	reviewed	Sodium/calcium exchanger 2 (Na(+)/Ca(2+)-exchange protein 2) (Solute carrier family 8 member 2)	SLC8A2 KIAA1087 NCX2	Homo sapiens (Human)	921
Q9GZM8	NDEL1_HUMAN	reviewed	Nuclear distribution protein nudE-like 1 (Protein Nudel) (Mitosin-associated protein 1)	NDEL1 EOPA MITAP1 NUDEL	Homo sapiens (Human)	345
O60285	NUAK1_HUMAN	reviewed	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	Homo sapiens (Human)	661
P51003	PAPOA_HUMAN	reviewed	Poly(A) polymerase alpha (PAP-alpha) (EC 2.7.7.19) (Polynucleotide adenylyltransferase alpha)	PAPOLA PAP	Homo sapiens (Human)	745
Q6FHA6	Q6FHA6_HUMAN	unreviewed	GRAP2 protein (Fragment)	GRAP2	Homo sapiens (Human)	330
Q13972	RGRF1_HUMAN	reviewed	Ras-specific guanine nucleotide-releasing factor 1 (Ras-GRF1) (Guanine nucleotide-releasing protein) (GNRP) (Ras-specific nucleotide exchange factor CDC25)	RASGRF1 CDC25 GNRP GRF1	Homo sapiens (Human)	1273
Q92834	RPGR_HUMAN	reviewed	X-linked retinitis pigmentosa GTPase regulator	RPGR RP3 XLRP3	Homo sapiens (Human)	1020
Q15831	STK11_HUMAN	reviewed	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	STK11 LKB1 PJS	Homo sapiens (Human)	433
Q96KP6	TNIP3_HUMAN	reviewed	TNFAIP3-interacting protein 3 (A20-binding inhibitor of NF-kappa-B activation 3) (ABIN-3) (Listeria-induced gene protein)	TNIP3 ABIN3 LIND	Homo sapiens (Human)	325
P04150	GCR_HUMAN	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	Homo sapiens (Human)	777
O60565	GREM1_HUMAN	reviewed	Gremlin-1 (Cell proliferation-inducing gene 2 protein) (Cysteine knot superfamily 1, BMP antagonist 1) (DAN domain family member 2) (Down-regulated in Mos-transformed cells protein) (Increased in high glucose protein 2) (IHG-2)	GREM1 CKTSF1B1 DAND2 DRM PIG2	Homo sapiens (Human)	184
Q96PY6	NEK1_HUMAN	reviewed	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	NEK1 KIAA1901	Homo sapiens (Human)	1258
P48552	NRIP1_HUMAN	reviewed	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	NRIP1	Homo sapiens (Human)	1158
P16471	PRLR_HUMAN	reviewed	Prolactin receptor (PRL-R)	PRLR	Homo sapiens (Human)	622
Q03431	PTH1R_HUMAN	reviewed	Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)	PTH1R PTHR PTHR1	Homo sapiens (Human)	593
Q86UR5	RIMS1_HUMAN	reviewed	Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1) (Rab-3-interacting protein 2)	RIMS1 KIAA0340 RAB3IP2 RIM1 Nbla00761	Homo sapiens (Human)	1692
P26651	TTP_HUMAN	reviewed	mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	ZFP36 G0S24 NUP475 RNF162A TIS11A TTP	Homo sapiens (Human)	326
Q9HC77	CENPJ_HUMAN	reviewed	Centromere protein J (CENP-J) (Centrosomal P4.1-associated protein) (LAG-3-associated protein) (LYST-interacting protein 1)	CENPJ CPAP LAP LIP1	Homo sapiens (Human)	1338
Q96N67	DOCK7_HUMAN	reviewed	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140
O60825	F262_HUMAN	reviewed	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB2	Homo sapiens (Human)	505
O94887	FARP2_HUMAN	reviewed	FERM, ARHGEF and pleckstrin domain-containing protein 2 (FERM domain-including RhoGEF) (FIR) (FERM, RhoGEF and pleckstrin domain-containing protein 2) (Pleckstrin homology domain-containing family C member 3) (PH domain-containing family C member 3)	FARP2 KIAA0793 PLEKHC3	Homo sapiens (Human)	1054
Q8WUI4	HDAC7_HUMAN	reviewed	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a)	HDAC7 HDAC7A	Homo sapiens (Human)	952
Q6ZU52	K0408_HUMAN	reviewed	Uncharacterized protein KIAA0408	KIAA0408	Homo sapiens (Human)	694
O60282	KIF5C_HUMAN	reviewed	Kinesin heavy chain isoform 5C (Kinesin heavy chain neuron-specific 2)	KIF5C KIAA0531 NKHC2	Homo sapiens (Human)	957
Q6P597	KLC3_HUMAN	reviewed	Kinesin light chain 3 (KLC2-like) (kinesin light chain 2)	KLC3 KLC2 KLC2L	Homo sapiens (Human)	504
Q9Y2A7	NCKP1_HUMAN	reviewed	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)	1128
P17812	PYRG1_HUMAN	reviewed	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	CTPS1 CTPS	Homo sapiens (Human)	591
Q9UPU9	SMAG1_HUMAN	reviewed	Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A)	SAMD4A KIAA1053 SAMD4 SMAUG1	Homo sapiens (Human)	718
Q5PRF9	SMAG2_HUMAN	reviewed	Protein Smaug homolog 2 (Smaug 2) (hSmaug2) (Sterile alpha motif domain-containing protein 4B) (SAM domain-containing protein 4B)	SAMD4B SMAUG2	Homo sapiens (Human)	694
P46937	YAP1_HUMAN	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504
P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	297
Q9Y5I4	PCDC2_HUMAN	reviewed	Protocadherin alpha-C2 (PCDH-alpha-C2)	PCDHAC2	Homo sapiens (Human)	1007
O14757	CHK1_HUMAN	reviewed	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	CHEK1 CHK1	Homo sapiens (Human)	476
O43916	CHST1_HUMAN	reviewed	Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST)	CHST1	Homo sapiens (Human)	411
Q15884	F1892_HUMAN	reviewed	Protein FAM189A2 (Protein X123)	FAM189A2 C9orf61 X123	Homo sapiens (Human)	450
Q9UQL6	HDAC5_HUMAN	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	Homo sapiens (Human)	1122
Q14103	HNRPD_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	HNRNPD AUF1 HNRPD	Homo sapiens (Human)	355
P27448	MARK3_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	MARK3 CTAK1 EMK2	Homo sapiens (Human)	753
Q9H8W4	PKHF2_HUMAN	reviewed	Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2) (Endoplasmic reticulum-associated apoptosis-involved protein containing PH and FYVE domains) (EAPF) (PH and FYVE domain-containing protein 2) (Phafin-2) (Phafin2) (Zinc finger FYVE domain-containing protein 18)	PLEKHF2 ZFYVE18	Homo sapiens (Human)	249
O00444	PLK4_HUMAN	reviewed	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18	Homo sapiens (Human)	970
Q5T6D0	Q5T6D0_HUMAN		Deleted.			
Q8WU02	Q8WU02_HUMAN	unreviewed	C9orf61 protein		Homo sapiens (Human)	176
Q96HA8	NTAQ1_HUMAN	reviewed	Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (WDYHV motif-containing protein 1)	NTAQ1 C8orf32 WDYHV1	Homo sapiens (Human)	205
Q12788	TBL3_HUMAN	reviewed	Transducin beta-like protein 3 (WD repeat-containing protein SAZD)	TBL3 SAZD	Homo sapiens (Human)	808
P78314	3BP2_HUMAN	reviewed	SH3 domain-binding protein 2 (3BP-2)	SH3BP2 3BP2 RES4-23	Homo sapiens (Human)	561
P46527	CDN1B_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	Homo sapiens (Human)	198
P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
P23945	FSHR_HUMAN	reviewed	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	FSHR LGR1	Homo sapiens (Human)	695
O94921	CDK14_HUMAN	reviewed	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)	CDK14 KIAA0834 PFTK1	Homo sapiens (Human)	469
P42338	PK3CB_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)	PIK3CB PIK3C1	Homo sapiens (Human)	1070
P49802	RGS7_HUMAN	reviewed	Regulator of G-protein signaling 7 (RGS7)	RGS7	Homo sapiens (Human)	495
O14746	TERT_HUMAN	reviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
P31946	1433B_HUMAN	reviewed	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	YWHAB	Homo sapiens (Human)	246
Q9P0K1	ADA22_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)	ADAM22 MDC2	Homo sapiens (Human)	906
P56945	BCAR1_HUMAN	reviewed	Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas)	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)	870
Q99459	CDC5L_HUMAN	reviewed	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802
P23528	COF1_HUMAN	reviewed	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)	166
